Date,Open,High,Low,Close,TATAPOWER,Volume
07-10-2022,221.649994,222.899994,218.75,222.5,220.446945,11098716
10-10-2022,220,220.75,217.100006,220.350006,218.316788,9516511
11-10-2022,220.399994,222.25,216.5,217.149994,215.146301,9006207
12-10-2022,218,219.399994,215.050003,217.949997,215.938919,9504518
13-10-2022,217.949997,218.899994,213.5,216.149994,214.155533,9559072
14-10-2022,220,220.600006,215.5,215.899994,213.907837,8739363
17-10-2022,215,218.5,213.850006,217.949997,215.938919,9420098
18-10-2022,219.050003,222,218.649994,220.649994,218.614014,10267276
19-10-2022,221.399994,221.649994,217.550003,218.399994,216.384766,7712123
20-10-2022,217.850006,221.300003,216.100006,220.800003,218.762634,7889548
21-10-2022,221.25,222.25,217.550003,218.600006,216.582932,8153053
24-10-2022,221,221.149994,218.300003,219,216.979233,2893840
25-10-2022,219.100006,222.899994,217.649994,220.649994,218.614014,9040336
27-10-2022,221.800003,226.899994,221.100006,225.850006,223.766037,12783887
28-10-2022,227,227.699997,222.550003,225.050003,222.973419,13141721
31-10-2022,228.100006,229,224.199997,226,223.914642,22697530
01-11-2022,226.5,231.350006,226.5,230.600006,228.472214,16978101
02-11-2022,230,231.800003,227.800003,229.050003,226.936508,9478217
03-11-2022,228.199997,229.5,225.75,227.399994,225.301727,9095013
04-11-2022,227.699997,229.399994,226.75,228.300003,226.193436,8681681
07-11-2022,228.350006,230.399994,226.899994,229.149994,227.035583,9570452
09-11-2022,230.100006,234.5,228.850006,231.350006,229.215286,16625632
10-11-2022,231.199997,233.399994,228.5,229.199997,227.085114,8944902
11-11-2022,232,232,229.199997,229.75,227.630051,7259679
14-11-2022,230.050003,230.399994,226.800003,227.699997,225.598953,7310857
15-11-2022,228.449997,230.25,228,229.5,227.382355,6426117
16-11-2022,229.5,230,222.25,224.600006,222.527573,10662953
17-11-2022,224.699997,224.899994,221,221.399994,219.357086,10679502
18-11-2022,222.350006,222.850006,218.699997,220.449997,218.415863,7718744
21-11-2022,220.449997,222.399994,218.399994,221.399994,219.357086,6226956
22-11-2022,221.050003,222,219.050003,220.5,218.465393,7105721
23-11-2022,221.5,222.25,220.5,220.800003,218.762634,5966239
24-11-2022,221,221.699997,219.600006,220.75,218.713089,6612342
25-11-2022,221.199997,224.850006,220.350006,224.100006,222.032181,8062766
28-11-2022,224.100006,226.449997,223.300003,224.600006,222.527573,7388645
29-11-2022,225,225.449997,222.899994,223.449997,221.388168,6165404
30-11-2022,223.550003,225.399994,222.649994,224.800003,222.725723,8815900
01-12-2022,225.25,227.149994,223.600006,224.850006,222.775269,7833074
02-12-2022,225.449997,226.350006,223.850006,225.25,223.17157,7223274
05-12-2022,225.25,225.850006,222.350006,224.199997,222.131256,10750610
06-12-2022,224.199997,230.300003,223.5,228.800003,226.688812,20071039
07-12-2022,228.800003,229.600006,225.399994,225.850006,223.766037,7548312
08-12-2022,226,227.300003,224.800003,225.050003,222.973419,7507975
09-12-2022,225.899994,226.5,217.5,219.399994,217.375549,13087278
12-12-2022,219.75,219.75,215.699997,217.699997,215.691238,8858525
13-12-2022,218.800003,220.300003,217.800003,218.850006,216.830627,7265105
14-12-2022,219.800003,223.199997,219.399994,222.699997,220.645096,9179593
15-12-2022,222.649994,224.800003,221.050003,221.800003,219.753403,7909066
16-12-2022,221,222.5,216.050003,217.350006,215.344467,10349382
19-12-2022,218,218,214.899994,216.800003,214.799545,9302368
20-12-2022,216.800003,218.5,214.600006,217.850006,215.839859,6418826
21-12-2022,218.399994,219.399994,212.5,213.800003,211.827225,9737819
22-12-2022,214.899994,215.300003,206.550003,208.899994,206.972427,14020296
23-12-2022,206.199997,207.899994,196,196.899994,195.08316,20819266
26-12-2022,197.300003,204.649994,194.600006,203.149994,201.275482,18203352
27-12-2022,206.800003,208.300003,204.800003,207.699997,205.783508,11851262
28-12-2022,207.350006,210.300003,206.800003,208.25,206.32843,8920331
29-12-2022,208.800003,208.800003,205,205.850006,203.950577,15374707
30-12-2022,207.399994,210,207,207.699997,205.783508,7372810
02-01-2023,208.75,212.199997,208.199997,211.850006,209.895218,7746971
03-01-2023,212,213,210,211.350006,209.399841,7238453
04-01-2023,211,211.350006,205.850006,208.100006,206.179825,14226706
05-01-2023,209.600006,209.75,205.149994,207.600006,205.684433,10272550
06-01-2023,207.600006,208.75,204.100006,205.399994,203.50473,9603038
09-01-2023,206.449997,207.149994,205.199997,206.199997,204.297348,6631221
10-01-2023,206.649994,207.800003,204.699997,206.050003,204.148743,8246247
11-01-2023,206.850006,207.300003,205.149994,205.850006,203.950577,7061239
12-01-2023,206.399994,206.800003,203.800003,205.699997,203.801956,6167789
13-01-2023,205.699997,206.800003,204.149994,206.449997,204.545044,5801690
16-01-2023,207.300003,208.25,206.149994,206.949997,205.040421,4396161
17-01-2023,206.899994,208.5,206,207.699997,205.783508,5676087
18-01-2023,207.649994,208.350006,207.300003,207.5,205.585358,4564618
19-01-2023,206.949997,207.5,205.050003,205.300003,203.405655,4978935
20-01-2023,205.350006,208.5,205.100006,207.199997,205.288116,6362978
23-01-2023,207.75,208,206.699997,207,205.089966,4638356
24-01-2023,207.050003,208.149994,205.5,205.850006,203.950577,6551672
25-01-2023,205.850006,206.25,200.850006,201.449997,199.591171,9681030
27-01-2023,202.5,203.850006,196.649994,202.350006,200.48288,13521282
30-01-2023,203.449997,205.800003,201.350006,204.350006,202.464432,10341362
31-01-2023,205.5,214.649994,204.449997,212.899994,210.935516,16807189
01-02-2023,214.899994,215.399994,196.649994,205.850006,203.950577,19017445
02-02-2023,204.949997,208.800003,204,206.300003,204.396423,9841415
03-02-2023,207.5,208.199997,202,205.300003,203.405655,10618799
06-02-2023,209,212.850006,206.75,208.550003,206.625671,17908243
07-02-2023,209.5,210,205,206.300003,204.396423,8095192
08-02-2023,206.300003,207.550003,204.199997,207.149994,205.238571,8259877
09-02-2023,207.199997,207.649994,203.550003,205.5,203.603806,6294658
10-02-2023,205.5,206.149994,202.850006,204.800003,202.910263,5515771
13-02-2023,205.300003,206.25,202.300003,203.600006,201.721344,6844360
14-02-2023,203.699997,204.5,201.850006,203.100006,201.225952,5125639
15-02-2023,202.649994,205.649994,202.350006,205.25,203.35611,6323738
16-02-2023,205.600006,206.399994,204.5,205.149994,203.257034,4862186
17-02-2023,204.5,206.050003,204.149994,204.699997,202.811188,5939096
20-02-2023,204.800003,205.350006,202.199997,203.800003,201.919495,7780404
21-02-2023,204.850006,209.75,204.600006,207.949997,206.031204,15068225
22-02-2023,207.550003,207.550003,201.600006,202.300003,200.433334,15048335
23-02-2023,202.800003,203.699997,200.600006,201.300003,199.442566,10723010
24-02-2023,201.899994,202.949997,201.300003,202.300003,200.433334,5212611
27-02-2023,201.949997,202.300003,197.5,199.75,197.90686,12387738
28-02-2023,200.949997,202.949997,199.550003,202.550003,200.68103,6795039
01-03-2023,203.300003,205.399994,202.399994,204.550003,202.662582,6502602
02-03-2023,204.5,206.300003,203.550003,205.600006,203.702896,6290128
03-03-2023,206.100006,209.25,206,207.75,205.833038,9201938
06-03-2023,208.5,212.899994,208.100006,210.300003,208.359512,11959992
08-03-2023,209.449997,211.899994,208.100006,211.25,209.300751,7273306
09-03-2023,211.75,212.75,209.399994,209.75,207.81459,7481807
10-03-2023,208.050003,209.199997,206,208.75,206.823822,5967859
13-03-2023,207.050003,209.199997,202.199997,202.850006,200.978271,7250840
14-03-2023,203.850006,205.199997,201.699997,203.399994,201.523178,7282943
15-03-2023,205,205.449997,202.550003,202.949997,201.077332,5658938
16-03-2023,202.949997,204.550003,198.850006,203.399994,201.523178,7483698
17-03-2023,204.449997,206.399994,203.649994,205.149994,203.257034,6398045
20-03-2023,204.5,204.550003,200.5,202.600006,200.730576,6100721
21-03-2023,203,203.600006,201.600006,202.300003,200.433334,4431418
22-03-2023,203.350006,203.800003,200.5,200.949997,199.095795,7561000
23-03-2023,200,202.199997,199.550003,200.100006,198.253647,5367782
24-03-2023,200.100006,201.25,192.100006,192.75,190.971451,16010459
27-03-2023,192.899994,194,184.449997,186.649994,184.927734,22247890
28-03-2023,186.699997,187.5,182.350006,183.949997,182.252655,12023683
29-03-2023,184.5,187.699997,183.300003,185.5,183.788345,17480941
31-03-2023,188.5,191.600006,187.949997,190.25,188.494522,13519886
03-04-2023,193.350006,196.050003,192.050003,193.949997,192.160385,14927965
05-04-2023,194.649994,194.949997,192.5,194.600006,192.804382,7802577
06-04-2023,193.5,196,192.100006,195.25,193.44838,8898362
10-04-2023,195.5,197.75,195.100006,195.699997,193.894226,7752647
11-04-2023,197,197.899994,195.800003,197.550003,195.727173,4957133
12-04-2023,198,198.600006,195.550003,197.100006,195.281326,8183550
13-04-2023,197.199997,197.199997,194.25,196.300003,194.488693,6448150
17-04-2023,196.300003,197.600006,194.800003,196.949997,195.13269,4756452
18-04-2023,197.5,198.199997,196.149994,197.25,195.429932,4249222
19-04-2023,197.550003,197.75,193.050003,193.449997,191.664993,6753761
20-04-2023,193.550003,196.800003,193.449997,196.399994,194.587769,6086016
21-04-2023,196.949997,196.949997,194.5,195.699997,193.894226,4015567
24-04-2023,196.5,196.699997,194.800003,195.850006,194.042862,5017631
25-04-2023,195.850006,198.800003,195.350006,197.649994,195.826233,5957551
26-04-2023,197.649994,198.949997,196.149994,198.199997,196.37117,4910837
27-04-2023,198.449997,199.949997,197.649994,198.5,196.668396,5215692
28-04-2023,199.5,201.550003,199,201.100006,199.244415,7951645
02-05-2023,201.949997,202.949997,200.399994,201.75,199.888412,6881245
03-05-2023,201.800003,204.25,200.449997,203.800003,201.919495,8641713
04-05-2023,203.899994,204.550003,202.100006,203.850006,201.96904,8211667
05-05-2023,203.899994,205.600006,199.399994,200.149994,198.303162,16337389
08-05-2023,201.5,203.199997,199.5,202.699997,200.829636,7724617
09-05-2023,203.75,205.100006,202.399994,203.300003,201.424103,7956883
10-05-2023,203.5,204.449997,202.199997,204.149994,202.266251,5026713
11-05-2023,204.5,207.199997,204.149994,206.300003,204.396423,8986218
12-05-2023,206.850006,207.800003,206.149994,207.050003,205.139511,7304524
15-05-2023,207.649994,209.399994,206.449997,208.149994,206.229355,6740655
16-05-2023,208.850006,215,208.199997,211.350006,209.399841,18196503
17-05-2023,212.399994,212.399994,206.850006,207.75,205.833038,9107799
18-05-2023,209,209.699997,204.100006,204.600006,202.712112,8248339
19-05-2023,206.300003,206.5,201.800003,205.850006,203.950577,9002705
22-05-2023,206,206.899994,204.100006,206.199997,204.297348,5577418
23-05-2023,206.5,207.449997,205.5,206.899994,204.990891,5017652
24-05-2023,206.649994,208,205.550003,207.149994,205.238571,5447203
25-05-2023,207.199997,211.199997,206.550003,210.800003,208.854904,8705559
26-05-2023,212.25,213.800003,210.649994,212.199997,210.241989,8476048
29-05-2023,213,217.699997,211.699997,217,214.997696,12956419
30-05-2023,218,218.449997,215,216.899994,214.898605,11975300
31-05-2023,216.899994,219,212.899994,213.550003,211.579529,11299432
01-06-2023,213.949997,217,213,215.300003,213.313385,6324964
02-06-2023,216.399994,216.899994,215,215.649994,213.660141,4908437
05-06-2023,217,219.399994,216.149994,219.050003,217.028778,8688870
06-06-2023,219.800003,219.800003,215.550003,216.75,214.75,8301040
07-06-2023,216.600006,219.649994,214.100006,218.449997,218.449997,11387499
08-06-2023,218.949997,226.199997,218.449997,220.649994,220.649994,31056302
09-06-2023,224.600006,224.600006,220.199997,221.199997,221.199997,11045069
12-06-2023,221.949997,223.550003,220.350006,220.949997,220.949997,6342344
13-06-2023,221.5,222.800003,220.850006,221.800003,221.800003,6249947
14-06-2023,222.5,225.25,221.550003,224.149994,224.149994,10509540
15-06-2023,224.399994,224.649994,220.149994,220.600006,220.600006,7665159
16-06-2023,221.899994,223.699997,220.899994,222.25,222.25,7136739
19-06-2023,223,224.149994,221,223.149994,223.149994,7473608
20-06-2023,223.100006,226.350006,222.600006,224.949997,224.949997,11221842
21-06-2023,225.25,226,222.600006,224.300003,224.300003,6987933
22-06-2023,224.850006,225.149994,220.5,221.100006,221.100006,6857007
23-06-2023,222,222.100006,215.699997,218.300003,218.300003,10890426
26-06-2023,218.300003,219.350006,216.300003,218.600006,218.600006,5136478
27-06-2023,218.899994,220.5,218.600006,219.25,219.25,4694432
28-06-2023,219.25,219.25,219.25,219.25,219.25,0
30-06-2023,219.699997,222.5,218.850006,221.850006,221.850006,9940002
03-07-2023,222.899994,224.199997,221.600006,221.899994,221.899994,5792956
04-07-2023,222.100006,223.300003,220.199997,220.649994,220.649994,4598056
05-07-2023,220.949997,223.75,220.550003,221.699997,221.699997,5879342
06-07-2023,225,230.300003,223.550003,229.600006,229.600006,30885511
07-07-2023,229.800003,232.350006,226.100006,228,228,16592198
10-07-2023,229.25,229.25,224.649994,225,225,7143637
11-07-2023,226,226.850006,224.699997,225.5,225.5,5156417
12-07-2023,226.25,227.25,225.199997,226.300003,226.300003,7366992
13-07-2023,227,227.199997,220.899994,221.850006,221.850006,9389403
14-07-2023,222.75,222.75,218.550003,221.050003,221.050003,10191602
17-07-2023,221.949997,224.699997,221.25,223.5,223.5,7071156
18-07-2023,224.199997,224.300003,220.75,221.5,221.5,6695221
19-07-2023,221.399994,221.399994,217.5,219.5,219.5,14481130
20-07-2023,219.800003,220.649994,217.75,218.149994,218.149994,6910107
21-07-2023,218.149994,219.199997,216.75,217.399994,217.399994,5715378
24-07-2023,218.25,218.75,216.800003,217.350006,217.350006,4387406
25-07-2023,217.5,220.5,217.5,219.449997,219.449997,7602866
26-07-2023,220.399994,222.399994,219.800003,221.5,221.5,8511027
27-07-2023,222.25,222.550003,220.5,220.899994,220.899994,7845672
28-07-2023,220.899994,237.199997,220,234.649994,234.649994,57651036
31-07-2023,236.550003,238.899994,235.199997,236.699997,236.699997,18682254
01-08-2023,237.399994,245.399994,236.25,244.399994,244.399994,27535144
02-08-2023,244.699997,244.699997,233.300003,235.75,235.75,22636262
03-08-2023,235.25,237.600006,232.550003,235.449997,235.449997,10784942
04-08-2023,237,237.350006,234.5,235.649994,235.649994,7710303
07-08-2023,236.899994,237,232.199997,232.800003,232.800003,7286281
08-08-2023,234.5,236.649994,230.5,233.899994,233.899994,9464101
09-08-2023,237,237,232,234.899994,234.899994,10515447
10-08-2023,236,241.699997,233.5,237.149994,237.149994,25155361
11-08-2023,238.050003,238.350006,235.149994,236.199997,236.199997,6875382
14-08-2023,236,236.149994,229.100006,231.149994,231.149994,10730311
16-08-2023,230,235.5,228.050003,234.949997,234.949997,6716135
17-08-2023,234.949997,235.850006,231.899994,232.5,232.5,6535775
18-08-2023,232.5,233.5,229.600006,230.100006,230.100006,6814759
21-08-2023,230.649994,240.399994,230.100006,239.350006,239.350006,14519170
22-08-2023,242,244.100006,239.600006,243.5,243.5,22416067
23-08-2023,244.649994,248.5,243.5,245.600006,245.600006,23010389
24-08-2023,247,252.800003,246.5,249.75,249.75,28698029
25-08-2023,249.649994,251.699997,243.399994,245.600006,245.600006,15076489
28-08-2023,246.149994,246.899994,243.699997,244.949997,244.949997,7395680
29-08-2023,245,248.5,244.949997,246.899994,246.899994,7267365
30-08-2023,248,250.5,246.899994,247.350006,247.350006,8228142
31-08-2023,248.649994,249.75,244.25,245.100006,245.100006,11641155
01-09-2023,246.75,255.949997,246.100006,255.350006,255.350006,28052910
04-09-2023,257.950012,262.299988,255.100006,259.149994,259.149994,18767431
05-09-2023,260.799988,262.5,255.649994,258.450012,258.450012,14987193
06-09-2023,261,261.799988,254.649994,257.5,257.5,9250338
07-09-2023,258,266.350006,256.299988,263.700012,263.700012,17703150
08-09-2023,264.850006,276.5,263.700012,268.850006,268.850006,53019645
11-09-2023,274,274,269.149994,271.899994,271.899994,16450404
12-09-2023,276,276,260,262.700012,262.700012,23738913
13-09-2023,263.5,267.600006,261,265,265,11803636
14-09-2023,266.850006,268,263.450012,265.100006,265.100006,7915449
15-09-2023,267.100006,267.950012,263.100006,263.950012,263.950012,7612098
18-09-2023,265.399994,266.75,262.299988,265.549988,265.549988,8425365
20-09-2023,265.350006,267,261,262,262,9016803
21-09-2023,261.950012,262,256.049988,256.649994,256.649994,7948656
22-09-2023,257.149994,259,254.25,257.100006,257.100006,6831744
25-09-2023,258.200012,258.299988,255,256.899994,256.899994,5384845
26-09-2023,257.100006,263.75,257,259.850006,259.850006,9193002
27-09-2023,259.850006,260.600006,256.549988,259.75,259.75,5650167
28-09-2023,262,264.25,257.299988,258.049988,258.049988,11266992
29-09-2023,259.450012,264.75,259.450012,262.299988,262.299988,10214222
03-10-2023,262.549988,266.5,260.799988,263.950012,263.950012,7137959
04-10-2023,262.950012,262.950012,253.5,256.649994,256.649994,12531396
05-10-2023,258.600006,260.200012,256,257.799988,257.799988,6675848
06-10-2023,259.5,259.950012,258.049988,258.75,258.75,3828731
